0.3564,-3.3499,-1046.5,3.3499,0.3564,-3197.6,0,0
-0.070681,-0.46337,21.455,0.46337,-0.070681,556.98,0,0
0.27748,0.62717,475.33,-0.62717,0.27748,871.39,0,0
0.075394,-0.43602,-271.52,0.43602,0.075394,226.25,0,0
0.093635,0.11083,364.87,-0.11083,0.093635,658.11,0,0
0.10878,0.44734,-13.495,-0.44734,0.10878,783.96,0,0
-0.036033,-0.61546,173.09,0.61546,-0.036033,504.63,0,0
-0.089278,0.57721,-2.224,-0.57721,-0.089278,726.93,0,0
0.13622,-0.33834,424.91,0.33834,0.13622,506.74,0,0
0.16886,0.42757,231.11,-0.42757,0.16886,757.9,0,0
-0.13397,-0.5,214.35,0.5,-0.13397,685.93,0,0
0.17499,0.22665,-316.52,-0.22665,0.17499,1030.1,0,0
